company,added_modified,dollar_amount_float,moneyprize_received,donation_details,year,don_detail_amount,don_detail_txt,dollar_equivalent_amount
BOUTIQUE JACQUES,2012-02-28,0.0,,not sure yet - John to confirm $500 last year,2012,500.0,not sure yet - john to confirm last year,500.0
ERA ENVIRONMENTAL MANAGEMENT SOLUTIONS,2012-03-01,100.0,Yes,business card,2012,,business card,100.0
PHARMAPRIX,2012-02-21,200.0,Yes,$200 1/4 page ad,2012,200.0, 1/4 page ad,200.0
CHUBB,2012-02-21,100.0,Yes,business card,2012,,business card,100.0
RBC,2012-02-28,100.0,Yes,business card + 85 gifts for kids around $1-$3 each = ~$370 value,2012,1.0,business card + 85 gifts for kids around -$3 each = ~$370 value,100.0
AVENUE IMMOBILIER HYPOTHEQUE,2012-03-02,200.0,Yes,$200 sponsorship,2012,200.0, sponsorship,200.0
COMAC CORPORATION INC,2012-03-04,100.0,no,business card,2012,,business card,100.0
OLSON CURLING,2012-03-05,0.0,Yes,curling equipment,2012,,curling equipment,0.0
PERFORMANCE BROOMS,2012-03-05,0.0,Yes,curling equipment,2012,,curling equipment,0.0
SANI MAX,2012-03-05,100.0,Yes,$100 business card,2012,100.0, business card,100.0
VINS PHILIPPE DANDURAND LTEE,2012-03-05,0.0,,12 bottles of wine,2012,,12 bottles of wine,0.0
MURIELLE LEBLANC,2012-03-05,0.0,,painting donation,2012,,painting donation,0.0
AUBRY,2012-03-05,0.0,,raffle tickets,2012,,raffle tickets,0.0
LERNER PROMOTIONS,2012-03-05,0.0,,Promotional Considerations,2012,,promotional considerations,0.0
VANDERZON,2012-03-05,0.0,,Nothing confirmed yet,2012,,nothing confirmed yet,0.0
SLEEMAN UNIBROUE INC,2012-03-05,0.0,,4 cases of specialty beer,2012,,4 cases of specialty beer,0.0
JANCOR AGENCIES,2012-03-24,50.0,Yes,$50 corporate sponsorship,2012,50.0, corporate sponsorship,50.0
HOGLINE CURLERS PROSHOP,2012-09-23,0.0,N,Goldline carbon fibre broom ($159 retail value) ,2013,159.0,goldline carbon fibre broom ( retail value) ,159.0
ROYAL LAURENTIEN,2012-10-25,0.0,Y,Golf 4some with cart ($320 retail value),2013,320.0,golf 4some with cart ( retail value),320.0
EMPIRE,2012-03-10,250.0,Yes,250,2013,,,250.0
ULTRAMAR,2012-05-12,0.0,Yes,Silver - $500 in gas coupons,2013,500.0,silver - in gas coupons,500.0
DELTA,2012-06-12,0.0,Yes,KLM trip for two to Europe - ticket should say courtesy of Delta/KLM,2013,,klm trip for two to europe - ticket should say courtesy of delta/klm,0.0
VIA,2012-06-12,0.0,Yes,trip for 4 Montreal/Windsor $2251 value,2013,2251.0,trip for 4 montreal/windsor value,2251.0
ENERGIE CARDIO,2012-12-13,0.0,Yes,1 year membership,2013,,1 year membership,0.0
HOTEL LE CRYSTAL,2013-01-03,0.0,Yes,Un forfait pour 2 personnes pour une nuitée ,2013,,un forfait pour 2 personnes pour une nuitée ,0.0
WESTJET,2011-12-24,0.0,Yes,Tickets for two to any WestJet destination,2013,,tickets for two to any westjet destination,0.0
FONDATION BBB,2013-01-14,5000.0,Yes,Platinum,2013,,platinum,5000.0
DORFIN,2013-01-09,200.0,Yes,$200 1/4 page ad,2013,200.0, 1/4 page ad,200.0
SAUTE MOUTON,2013-01-09,0.0,Yes,Two family passes - value of $218 each,2013,218.0,two family passes - value of each,218.0
AUBRY,2013-01-09,0.0,,raffle tickets,2013,,raffle tickets,0.0
LERNER PROMOTIONS,2013-01-09,0.0,,Promotional Considerations,2013,,promotional considerations,0.0
FRIENDS OF TROUSER LAKE,2013-01-09,7800.0,St. Lambert totals,1/2 page,2013,,1/2 page,7800.0
SUNDAY CURLING GANG,2013-01-09,1010.0,Yes,+ Labrador,2013,,+ labrador,1010.0
M L FORANDS COURTIERS D ASSURANCE,2013-01-27,250.0,Yes,250,2013,,,250.0
BMR OSTIGUY FRERES,2013-01-27,0.0,Yes,Power tools for raffle draw,2013,,power tools for raffle draw,0.0
THISTLE,2013-02-02,500.0,Yes,$500 K4K friend,2013,500.0, k4k friend,500.0
KSH,2013-04-02,500.0,Yes,$500 K4K friend,2013,500.0, k4k friend,500.0
RAILCON,2013-05-02,500.0,Yes,$500 K4K friend,2013,500.0, k4k friend,500.0
